t,T
12.27,1499.67
12.28,1499.27
12.29,1498.86
12.30,1498.46
12.31,1498.06
12.32,1497.65
12.33,1497.25
12.34,1496.85
12.35,1496.45
12.36,1496.05
12.37,1495.65
12.38,1495.25
12.39,1494.85
12.40,1494.45
12.41,1494.05
12.42,1493.65
12.43,1493.25
12.44,1492.85
12.45,1492.45
12.46,1492.06
12.47,1491.66
12.48,1491.27
12.49,1490.87
12.50,1490.47
12.51,1490.08
12.52,1489.69
12.53,1489.29
12.54,1488.90
12.55,1488.50
12.56,1488.11
12.57,1487.72
12.58,1487.33
12.59,1486.94
12.60,1486.55
12.61,1486.15
12.62,1485.76
12.63,1485.37
12.64,1484.99
12.65,1484.60
12.66,1484.21
12.67,1483.82
12.68,1483.43
12.69,1483.04
12.70,1482.66
12.71,1482.27
12.72,1481.88
12.73,1481.50
12.74,1481.11
12.75,1480.73
12.76,1480.34
12.77,1479.96
12.78,1479.58
12.79,1479.19
12.80,1478.81
12.81,1478.43
12.82,1478.04
12.83,1477.66
12.84,1477.28
12.85,1476.90
12.86,1476.52
12.87,1476.14
12.88,1475.76
12.89,1475.38
12.90,1475.00
12.91,1474.62
12.92,1474.24
12.93,1473.87
12.94,1473.49
12.95,1473.11
12.96,1472.73
12.97,1472.36
12.98,1471.98
12.99,1471.61
13.00,1471.23
13.01,1470.86
13.02,1470.48
13.03,1470.11
13.04,1469.73
13.05,1469.36
13.06,1468.99
13.07,1468.62
13.08,1468.24
13.09,1467.87
13.10,1467.50
13.11,1467.13
13.12,1466.76
13.13,1466.39
13.14,1466.02
13.15,1465.65
13.16,1465.28
13.17,1464.91
13.18,1464.54
13.19,1464.17
13.20,1463.81
13.21,1463.44
13.22,1463.07
13.23,1462.71
13.24,1462.34
13.25,1461.97
13.26,1461.61
13.27,1461.24
13.28,1460.88
13.29,1460.51
13.30,1460.15
13.31,1459.79
13.32,1459.42
13.33,1459.06
13.34,1458.70
13.35,1458.34
13.36,1457.97
13.37,1457.61
13.38,1457.25
13.39,1456.89
13.40,1456.53
13.41,1456.17
13.42,1455.81
13.43,1455.45
13.44,1455.09
13.45,1454.73
13.46,1454.38
13.47,1454.02
13.48,1453.66
13.49,1453.30
13.50,1452.95
13.51,1452.59
13.52,1452.23
13.53,1451.88
13.54,1451.52
13.55,1451.17
13.56,1450.81
13.57,1450.46
13.58,1450.10
13.59,1449.75
13.60,1449.40
13.61,1449.04
13.62,1448.69
13.63,1448.34
13.64,1447.99
13.65,1447.63
13.66,1447.28
13.67,1446.93
13.68,1446.58
13.69,1446.23
13.70,1445.88
13.71,1445.53
13.72,1445.18
13.73,1444.83
13.74,1444.48
13.75,1444.14
13.76,1443.79
13.77,1443.44
13.78,1443.09
13.79,1442.75
13.80,1442.40
13.81,1442.05
13.82,1441.71
13.83,1441.36
13.84,1441.02
13.85,1440.67
13.86,1440.33
13.87,1439.98
13.88,1439.64
13.89,1439.30
13.90,1438.95
13.91,1438.61
13.92,1438.27
13.93,1437.92
13.94,1437.58
13.95,1437.24
13.96,1436.90
13.97,1436.56
13.98,1436.22
13.99,1435.88
14.00,1435.54
14.01,1435.20
14.02,1434.86
14.03,1434.52
14.04,1434.18
14.05,1433.84
14.06,1433.50
14.07,1433.17
14.08,1432.83
14.09,1432.49
14.10,1432.15
14.11,1431.82
14.12,1431.48
14.13,1431.14
14.14,1430.81
14.15,1430.47
14.16,1430.14
14.17,1429.80
14.18,1429.47
14.19,1429.14
14.20,1428.80
14.21,1428.47
14.22,1428.14
14.23,1427.80
14.24,1427.47
14.25,1427.14
14.26,1426.81
14.27,1426.47
14.28,1426.14
14.29,1425.81
14.30,1425.48
14.31,1425.15
14.32,1424.82
14.33,1424.49
14.34,1424.16
14.35,1423.83
14.36,1423.50
14.37,1423.18
14.38,1422.85
14.39,1422.52
14.40,1422.19
14.41,1421.87
14.42,1421.54
14.43,1421.21
14.44,1420.89
14.45,1420.56
14.46,1420.23
14.47,1419.91
14.48,1419.58
14.49,1419.26
14.50,1418.93
14.51,1418.61
14.52,1418.29
14.53,1417.96
14.54,1417.64
14.55,1417.31
14.56,1416.99
14.57,1416.67
14.58,1416.35
14.59,1416.03
14.60,1415.70
14.61,1415.38
14.62,1415.06
14.63,1414.74
14.64,1414.42
14.65,1414.10
14.66,1413.78
14.67,1413.46
14.68,1413.14
14.69,1412.82
14.70,1412.50
14.71,1412.18
14.72,1411.87
14.73,1411.55
14.74,1411.23
14.75,1410.91
14.76,1410.60
14.77,1410.28
14.78,1409.96
14.79,1409.65
